         t           |          x           |          y           |        x-real        |        y-real        |       x-error        |       y-error        | 
            0,140000 |            -0,149811 |              1,14017 |            -0,140458 |              1,14936 |          -0,00935318 |          -0,00919260 | 
            0,141000 |            -0,150952 |              1,14117 |            -0,141468 |              1,15049 |          -0,00948396 |          -0,00932208 | 
            0,142000 |            -0,152093 |              1,14217 |            -0,142478 |              1,15162 |          -0,00961560 |          -0,00945243 | 
            0,143000 |            -0,153236 |              1,14317 |            -0,143488 |              1,15276 |          -0,00974811 |          -0,00958363 | 
            0,144000 |            -0,154380 |              1,14417 |            -0,144498 |              1,15389 |          -0,00988147 |          -0,00971569 | 
            0,145000 |            -0,155524 |              1,14517 |            -0,145509 |              1,15502 |           -0,0100157 |          -0,00984860 | 
            0,146000 |            -0,156670 |              1,14618 |            -0,146519 |              1,15616 |           -0,0101508 |          -0,00998237 | 
            0,147000 |            -0,157817 |              1,14718 |            -0,147530 |              1,15730 |           -0,0102867 |           -0,0101170 | 
            0,148000 |            -0,158964 |              1,14818 |            -0,148541 |              1,15843 |           -0,0104235 |           -0,0102525 | 
            0,149000 |            -0,160113 |              1,14918 |            -0,149552 |              1,15957 |           -0,0105611 |           -0,0103888 | 
            0,150000 |            -0,161263 |              1,15018 |            -0,150563 |              1,16071 |           -0,0106996 |           -0,0105260 | 
            0,151000 |            -0,162413 |              1,15119 |            -0,151574 |              1,16185 |           -0,0108389 |           -0,0106640 | 
            0,152000 |            -0,163565 |              1,15219 |            -0,152586 |              1,16299 |           -0,0109791 |           -0,0108029 | 
            0,153000 |            -0,164718 |              1,15319 |            -0,153598 |              1,16413 |           -0,0111202 |           -0,0109426 | 
            0,154000 |            -0,165871 |              1,15419 |            -0,154609 |              1,16527 |           -0,0112620 |           -0,0110831 | 
            0,155000 |            -0,167026 |              1,15519 |            -0,155621 |              1,16642 |           -0,0114048 |           -0,0112245 | 
            0,156000 |            -0,168182 |              1,15619 |            -0,156634 |              1,16756 |           -0,0115484 |           -0,0113668 | 
            0,157000 |            -0,169339 |              1,15720 |            -0,157646 |              1,16871 |           -0,0116928 |           -0,0115099 | 
            0,158000 |            -0,170496 |              1,15820 |            -0,158658 |              1,16985 |           -0,0118381 |           -0,0116538 | 
            0,159000 |            -0,171655 |              1,15920 |            -0,159671 |              1,17100 |           -0,0119842 |           -0,0117986 | 
            0,160000 |            -0,172815 |              1,16020 |            -0,160684 |              1,17215 |           -0,0121311 |           -0,0119442 | 
            0,161000 |            -0,173975 |              1,16120 |            -0,161696 |              1,17329 |           -0,0122789 |           -0,0120907 | 
            0,162000 |            -0,175137 |              1,16221 |            -0,162710 |              1,17444 |           -0,0124276 |           -0,0122380 | 
            0,163000 |            -0,176300 |              1,16321 |            -0,163723 |              1,17559 |           -0,0125770 |           -0,0123861 | 
            0,164000 |            -0,177463 |              1,16421 |            -0,164736 |              1,17674 |           -0,0127273 |           -0,0125351 | 
            0,165000 |            -0,178628 |              1,16521 |            -0,165750 |              1,17790 |           -0,0128785 |           -0,0126849 | 
            0,166000 |            -0,179794 |              1,16621 |            -0,166763 |              1,17905 |           -0,0130305 |           -0,0128355 | 
            0,167000 |            -0,180961 |              1,16721 |            -0,167777 |              1,18020 |           -0,0131833 |           -0,0129870 | 
            0,168000 |            -0,182128 |              1,16822 |            -0,168791 |              1,18136 |           -0,0133370 |           -0,0131393 | 
            0,169000 |            -0,183297 |              1,16922 |            -0,169806 |              1,18251 |           -0,0134915 |           -0,0132924 | 
            0,170000 |            -0,184467 |              1,17022 |            -0,170820 |              1,18367 |           -0,0136468 |           -0,0134464 | 
